"frame","x [nm]","y [nm]"
54.0,29.92303012137703,308.02008587030696
54.0,40.9379093584327,318.14542864452784
54.0,83.53616967744854,334.5216064655119
54.0,88.80819708886159,366.5145487218521
54.0,90.07395938806897,254.95587628433887
54.0,114.22192970562445,378.0429244425224
54.0,132.67305235941285,261.75225485266577
54.0,145.29225857293463,285.8709120102761
54.0,171.9856736010883,372.96319878518835
54.0,184.98956956269194,284.937412896597
54.0,198.05768004598434,395.80211614471636
54.0,199.7352620595917,279.72411374628405
54.0,204.41806038294547,277.83825185079013
54.0,218.04905033296893,330.33857495377316
54.0,226.54290380034126,278.23966381319394
54.0,250.32076241060014,289.7572499561914
54.0,276.2809044832386,301.1881290541841
54.0,277.5168086872505,233.24213033093721
54.0,277.26959331048704,375.00769986200015
54.0,285.630736966829,334.00586122923664
54.0,286.94544108837766,371.1673461897171
54.0,299.3017770806182,383.4575484568881
54.0,300.5772442996231,354.25879217524897
54.0,315.9974237506656,281.58881791408203
54.0,321.1320812290113,357.4535929460429
54.0,335.77102454544206,330.6929156119054
54.0,336.54000395562656,270.8864525023509
54.0,368.87184155191596,373.7990094152959
54.0,371.07732987845617,218.90771549139225
55.0,16.319142086774278,295.83765492937783
55.0,28.93631833222817,308.04102340955455
55.0,41.99969349713069,187.93980680459836
55.0,41.3681560523008,318.5436915899167
55.0,49.332164784924856,222.32211577765224
55.0,83.44764504288665,334.43295923433897
55.0,86.399336738033,366.03434546925513
55.0,87.26021326526073,239.63814081463536
55.0,89.86442507705999,255.15033014284333
55.0,91.63294294708665,266.03284005623243
55.0,92.78710876406376,133.4357474699136
55.0,108.01148960208607,292.894319851255
55.0,112.68200099422053,377.3546175329736
55.0,119.52954338090224,244.60365626028366
55.0,120.84239841251461,209.10241045097777
55.0,129.42524460546437,202.66222309428352
55.0,132.58997756784362,261.73476954429674
55.0,144.68571576668984,207.06139093206195
55.0,144.79235374208616,285.94745470296004
55.0,172.68476468666202,373.4092790133485
55.0,184.9721263565285,284.8410682306155
55.0,188.32156163996814,256.84548661923066
55.0,196.9598846152371,394.98653190163594
55.0,200.48893246368118,279.8507359173818
55.0,204.83570021146684,278.02041816699847
55.0,212.89478236292962,201.03864625611192
55.0,218.18581567127538,329.9764369361017
55.0,225.84486332459971,277.47532698855395
55.0,244.23192623539924,146.5930174039545
55.0,250.19134758426645,289.2411271300063
55.0,261.2557061162286,229.49518110476086
55.0,263.95931183048026,247.16205508694
55.0,263.67351710399663,382.09547354801265
55.0,267.3102870811099,313.58474672249065
55.0,275.7566586891996,301.29851771055087
